id;user;comment;date;mark;adjectives;polarity
10;rmax304823;"a fine tribal study of modern gangsterism in new york city. there are one or two allusions to being a ""made man"" but the words ""mafia"" and ""cosa nostra"" never appear, though all the main figures are italian, observe italian moral codes, and occasionally lapse into the language of the old country. if you really want to be a member of the goodfellas, it's not enough to be simply part italian. you need to be all italian, with traceable ancestry to the motherland, preferably sicily. everyone except some federal agents are corrupt. the wives know what's going on and are often complicit, though they have little to say about business decisions. they're satisfied with the solidarity of the larger family, the special parking places, the secret entrances to the copacabana, the respect shown themselves and their well-groomed husbands, and the general opulence of their life styles. the girl friends enjoy many of the same privileges but are mainly the subject of jokes, which wives and children are not. well, some are madonnas and some are whores. the cops are partners in crime, whether the gangsters are on the streets or in prison. they become your major domos for a few cartons of cigarettes and an occasional big bill tucked into a shirt pocket. your first jail term turns into a rite of passage, and you're given a celebration before you're packed off. the men clap and cry out ""your cherry is broke now."" prison itself is not a bad place if you're a wise guy. no one would dream of trying to rape you. you live with friends and share elaborate dinners and good wines with them. there are only two problems; one is interactional, the other moral and economic. as for the interactional problem, you can never really tell whether someone will become a ""rat,"" not even if you've known him all your life. from the point of view of a protagonist like henry hill, whose story this is, it's very bad to be a rat instead of a stand-up guy. on the other hand, it's much better to be a rat instead of a dead guy. severe beatings are common, even for men who are no more than irritating or even for innocents like mailmen. and when an important deal is at stake, whacking is necessary. whacking is also applied to men who unwisely insult others, because this is a culture of honor. it's like the old west without wyatt earp. ""when you call me that, smile."" and sometimes smiling isn't enough. the derision must be clearly couched. half a couch may not do. personal affronts call for a passionate butchery, but business transactions are cold blooded and maximally effective. this social system is real enough. in certain bars in new york and new jersey i was unwise enough to make some joke about mafia hangouts and received warnings. and in little charlie's restaurant on kenmare street in little italy, two tables were always kept empty in case some local businessmen decided to drop in unannounced. the movie is told from henry hill's (ray liotta's) point of view and he narrates most of it. hill was half irish and married a jewish girl but was accepted, within certain limitations. that brings up the moral questions built into the film. these guys are friendly and generous to each other. but who pay for all that reckless spending? you and i. the gang isn't a charitable organization. every time we buy something or rent an apartment, it costs a little more because of them, and they contribute nothing except mutual support. it's an immoral subculture in which the goals of society -- respect, wealth, material satisfaction, friendship -- are accepted, but society's means of achieving those goals -- following the rules, upholding the law, respecting the rights of strangers -- are rejected. the sociologist robert k. merton called them ""innovators"" and that's what they are. they invent and follow illegal rules for achieving society's goals. from an ethical perspective, it's a much better story than francis ford coppola's ""the godfather"" series, which was an apologia for the mafia, portrayed as a neighborhood organization that simply fills certain control functions that the regular police will or can not. no one was killed in ""the godfather"" unless he was a coward and a traitor and deserved it. in ""goodfellas"", a kid gets shot through the foot for being slow in delivering drinks to a table, and the incident is treated as a stupid joke. no one even tries justifying the act. when the same kid is later slaughtered for a resentful remark, the dead body is treated as a nuisance. the acting is unimpeachable, and so is the production design. you can almost smell the cigars, the perfume, the marinara sauce cooking in the large pot on the stove. (everybody eats a lot in this movie.) you should definitely see it if you haven't already. it's naturalism is convincing and there is no marlon brando to sympathize with.";26 July 2012;8;['fine', 'tribal', 'modern', 'main', 'italian', 'italian', 'moral', 'old', 'enough', 'italian', 'italian', 'traceable', 'federal', 'corrupt', 'complicit', 'little', 'satisfied', 'large', 'special', 'secret', 'general', 'many', 'same', 'major', 'few', 'occasional', 'big', 'first', 'bad', 'wise', 'elaborate', 'good', 'interactional', 'other', 'moral', 'economic', 'interactional', 'bad', 'other', 'well', 'dead', 'severe', 'common', 'important', 'necessary', 'old', 'enough', 'personal', 'passionate', 'cold', 'blooded', 'effective', 'social', 'real', 'certain', 'unwise', 'little', 'little', 'empty', 'local', 'unannounced', 'most', 'irish', 'jewish', 'certain', 'moral', 'friendly', 'generous', 'other', 'reckless', 'charitable', 'little', 'more', 'mutual', 'immoral', 'illegal', 'ethical', 'well', 'certain', 'regular', 'slow', 'stupid', 'same', 'resentful', 'dead', 'unimpeachable', 'large', 'convincing'];0.0436939268461007
11;Tweekums;"this film tells the story of irish/italian mobster henry hill; from the early days when he worked for mobsters as a teenager in the 1950s, through the sixties and seventies to his arrest in the eighties. we see the ease with which he slips into this world; the rewards and dangers it brings. during this time he works with fellow mobsters james conway and the psychotic tommy devito; he also marries karen. while henry isn't a killer he isn't unaware of the violent side of their business. this is often described as the greatest mob movie; i can't say that but only because there are other very well-known mob movies that i have yet to see. the story is gripping from start to finish; there are moments of humour which frequently turn to extreme danger in the blink of an eye; this is usually due to tommy's hair-trigger temper. the violence is usually sudden and bloody; as a character points out they don't waste time talking before they waste somebody. the cast is brilliant; joe pesci stands out as tommy, it is hardly surprising that he picked up an oscar. ray liotta and robert de niro are great as henry and james; also particularly notable are lorraine bracco as karen hill and paul sorvino as ""paulie"" cicero, the mobster henry works for. overall i'd say that this film is a must see for fans of the genre.";5 August 2019;10;['irish', 'early', 'psychotic', 'unaware', 'violent', 'great', 'other', 'extreme', 'due', 'sudden', 'bloody', 'brilliant', 'surprising', 'great', 'notable', 'lorraine'];0.0883333333333333
12;ccthemovieman-1;"sad to say, almost everyone i know - at least, the males - who has seen this movie likes it very much. i enjoy it, too. i say ""sad"" because it's a sick film in many ways. also, when you have 240-plus f-words in a movie, i mean, come on! in that respect alone, i'm embarrassed to say this movie is part of my collection. that's simply because it's a fascinating story, for the full 145 minutes. this is a rough film, to say the least. it's not just the language; there are some brutally- violent parts. joe pesci's ""tommy devito"" seems to be involved with some of the worst of that violence supposedly, the movie is a based on a true story but how much of this is true, who knows? it certainly provides a vivid portrait of mafia life in new york city. i really loved the narration by ray liotta - who doesn't? - and enjoyed the music in here. most people comment about the music; it's a good soundtrack. pesci, liotta, robert de niro and paul sorvino all make for extremely interesting gangster characters. with all the language, which includes at least 15 usages of the lord's name in vain and some subtle religious cheap shots (not surprising considering who directed the film), the gory spots this film gets a little too rough-edged at times. i've watched thousands of crime movies, and this gets to be a little much here and there but if none of the above offends you, you're in for a treat with an intense crime story that is very watchable.";12 January 2007;9;['sad', 'least', 'sad', 'sick', 'many', 'embarrassed', 'fascinating', 'full', 'rough', 'least', 'violent', 'bad', 'true', 'much', 'true', 'vivid', 'most', 'good', 'interesting', 'subtle', 'religious', 'cheap', 'surprising', 'little', 'little', 'above', 'intense', 'watchable'];0.030095238095238
13;ma-cortes;"a young man, henry hill : ray liotta , grows up in the mob , he dreams only of being one , as he works hard to advance himself throughout the ranks , and enjoys the life of the rich and violent , oblivious the terror of which he is part . as he joins other powerful and violent gangsters : robert de niro , paul sorvino and joe pesci , the latter a frightening unpredictable hitman who only stop talking for long enough to shoot someone over often imagined insult . meanwhile, henry is easily cheating his wife : lorraine bracco with a lover : debi mazar . cocaine addiction and many wiseguys misteps with maniac fits of fury resulting in death of far-reaching consequences , and ultimately unravel his climb to the top and bitter fall . this quintaessential mafia saga about wiseguys or goodfellas at turns funny and violent , as the familiar elements of the genre are all strongly and gratingly in place . being based on facts , in fact starring is really henry hill , ex-gangster now in the witness protection program. interesting and twisted screenplay , being adapted from the book written by nicholas pileggi . cared pacing , well photographed and adequate musical score accompany the moving action , adding amazing , senseless bursts of grisly violence . magnificent and fast-talking interpretations , particularly ray liotta , lorraine bracco ,robert de niro , paul sorvino , and joe pesci pitching in in around the corners and whose deliberately one-key acting makes his role seems to be the most dangerous . great secondary cast , such as : michael imperioli , mike starr, beau starr, samuel l jackson , frank vincent , debi mazar , peter onorati, ileana douglas, frank silvero and and look for scorsese' mom as pesci's mom , catherine scorsese . colorful and visionary cinematography by michael ballhaus. the motion picture was compellingly directed by martin scorsese, though certanly too long . this master filmmaker has a prestigious career , making a lot of excellent films, such as : ""mean streets , after hours , boxcar bertha , alice doesn't lives here anymore, king of comedy, taxi driver , new york new york, raging bull , casino , cape fear , the age of innocemce , shutter island , silence , the irishman and of course this goodfellas"" . rating : 7.5/10 , above average . worthwhile seeing for robert de niro, ray liotta fans . essential and indispensable watching .";17 April 2021;7;['young', 'rich', 'violent', 'oblivious', 'other', 'powerful', 'violent', 'latter', 'frightening', 'unpredictable', 'many', 'top', 'bitter', 'quintaessential', 'funny', 'violent', 'familiar', 'interesting', 'twisted', 'photographed', 'adequate', 'musical', 'amazing', 'senseless', 'grisly', 'magnificent', 'key', 'dangerous', 'great', 'secondary', 'such', 'catherine', 'colorful', 'visionary', 'prestigious', 'excellent', 'such', 'mean', 'average', 'worthwhile', 'essential', 'indispensable'];0.0787990196078431
14;BA_Harrison;as far back as i can remember, i've never wanted to be a gangster. i'd crack under the pressure and would probably wind up getting whacked (i've not a drop of sicilian blood in me either, so would never be a 'made' man). i'm far safer sat here at my mac typing film reviews. real life mobster henry hill (portrayed by ray liotta), on the other hand, had always wanted to be a 'wiseguy', and lived the dream to the full, making all the right connections and bags of cash in the process, at least until his greed got him into trouble with mob bosses and he was forced to turn state's evidence to save his skin. as directed by martin scorsese, this account of hill's exploits is extremely gripping stuff, with great period detail, a superb soundtrack, and a standout cast (including robert de niro, paul sorvino and joe pesci) all putting in great performances, pesci in particular giving it all as loose cannon tommy devito, one of the scariest characters ever committed to film (his classic 'funny like a clown?' scene is unbearably tense). the film is also incredibly violent, showing the harsh reality of the 'business' in unflinching detail, opening as it means to go on with the brutal stabbing and shooting of some poor sap in the trunk of a car. nope a life of crime is definitely not for me. now what shall i review next?;11 November 2016;9;['sicilian', 'safe', 'real', 'other', 'full', 'right', 'least', 'gripping', 'great', 'great', 'particular', 'loose', 'scary', 'classic', 'funny', 'tense', 'violent', 'harsh', 'brutal', 'poor'];0.0081272893772893
15;moonspinner55;"martin scorsese-directed modern-day mobster drama adapted from nicholas pileggi's book ""wiseguy"" by scorsese and pileggi involves brooklyn youth in 1955 who gets drawn into the gangster lifestyle, first as their gopher, later as a major player. joe pesci is frightening as a psychotic ball-buster and won a supporting actor oscar, yet ray liotta is even better in the central role, and lorraine bracco is excellent as liotta's wife. exceptionally well-made film is gratuitous in its usage of a certain expletive and cannot overcome one major obstacle: despite its attempts to show the ugliness of mafia life, the movie is constantly undermined by a distinct romanticism of its own violence. the infrequent narration by both liotta and bracco is a distraction, as we are often being told exactly what we're seeing on the screen, but the creeping paranoia is palpable and the drama played out is disturbing and gripping. **1/2 from ****";19 May 2006;6;['modern', 'major', 'frightening', 'psychotic', 'well', 'central', 'lorraine', 'excellent', 'gratuitous', 'certain', 'major', 'distinct', 'own', 'infrequent', 'palpable'];0.0782738095238095
16;Quinoa1984;"""i'm an average nobody...i get to live the rest of my life like a shnook."" so says henry hill, in one of the truly amazing denouements in film history. here's a man who could've been easily killed off- at first by his wife, then by his own crew- and evaded it by sneaking out the 'easy' route. yet hill hasn't changed. he'll always complain about not having the good life anymore. the wrap-up makes totally clear what this saga is: the american dream realized as a given, and in the form of a corrupted mind-set. goodfellas is the ""if-you-put-a-gun-to-my-head"" favorite movie for me, and by that token appropriate as there are many a gun pointed at a head during the film, and sometimes with a big result (the most shocking when i first saw it, and still brutal on a big screen, is seeing sam jackson's brains splattered all across the room like it's some ritualistic slaughter). it's true bravura storytelling, without a single shot or moment that needs to be excised or missed. to say it's a 'perfect' movie might be overstating it; what is 'perfect', after all? scorsese does strive for- and arguably succeeds- a kind of perfection in balancing comedy and drama, like a tightrope walker going above a bed of hot coals with a rambunctious pesci threatening with scissors like the oklahoma kid. you're almost afraid to laugh, and a good many times (especially if you've seen the film dozens of times like myself) you almost feel apart of the group of guys laughing about stuff that *shouldn't* be funny. but then there's what could be the greatest shot of the film, where we see a first-person of all the small-time hoods introducing themselves (""what's up guy?"" ""i'm gonna get the papers, get the papers""), where it's like we as the audience are let into the clubhouse, following them along into the back-room as they unload coats...wait, he needed suits, not coats. it's endlessly watchable as a kind of raucous, dangerous pop entertainment, and it feels as though it's gone by in much briefer time than has actually passed in 146 minutes. maybe as part of a subjective thing i can kind of relate to many of the characters, not so much because of what they do in their criminal deeds or hill's mistress or feeding people to lions and whatnot, but the little ticks of behavior (a little note like when hill rushes out of his coked-up girlfriend's apartment, laughing maniacally, is like any given day with my brother). but a personal connection can only be so much to recommend this motion picture like no other. as one of the benchmarks of cinema of my generation it's got everything that many somewhat-to-big-time-sophisticated moviegoers look for: over-done classic scenes (""am i a clown"" is the ""you're talking' to me"" of the movie, and probably not even as great until the ""last week this prick asked me to christen his kid"" line), iconoclastic techniques with the camera and editing (everything from the freeze frames to the music and narration to the shots that have the intensity of coke or full on rage and adrenaline in beating a guy's face in with a gun), and performances that should be considered essential to see for anyone becoming an actor years and years from now. if there was ever an american film that could absorb, entertain, enthrall, and interest me on all fronts of style and substance as much as goodfellas does on every viewing.";12 January 2000;10;['average', 'amazing', 'own', 'easy', 'good', 'clear', 'american', 'corrupted', 'favorite', 'appropriate', 'many', 'big', 'shocking', 'brutal', 'big', 'ritualistic', 'true', 'single', 'perfect', 'perfect', 'hot', 'rambunctious', 'oklahoma', 'afraid', 'good', 'many', 'funny', 'great', 'first', 'small', 'up', 'back', 'watchable', 'raucous', 'dangerous', 'much', 'subjective', 'many', 'criminal', 'little', 'little', 'personal', 'much', 'other', 'many', 'big', 'sophisticated', 'classic', 'great', 'last', 'iconoclastic', 'full', 'essential', 'american'];0.1623015873015872
17;tavm;while i had previously seen this martin scorsese picture before, it was on network television which meant i didn't hear the profanity and the violent scenes were trimmed. despite that, i remember enjoying the movie very much. now that i've seen it uncensored and on hd dvd, it doesn't impress me as much as before perhaps because in jumping several years in various segments, you half wonder what happened during those in-between times. still, ray liotta, robert de niro, joe pesci, and larraine bracco impress with their performances with paul sorvino lending gravity with his appearances throughout and nice cameos by up-and-coming newcomers like illeana douglas, debi mazar, samuel l. jackson, and michael imperioli. also amusing were cameos by the director's parents, catherine and charles, especially catherine's as pesci's mother. pesci may be the most impressive of the bunch in his oscar-winning role as tommy who turns from highly amused to very angry at a dime. perhaps not one for the mainstream crowd who wants at least one likable character to identify with but a mostly compelling account of the true story of what mob life really was like for someone who lived through it.;24 January 2008;8;['violent', 'uncensored', 'several', 'various', 'nice', 'amusing', 'impressive', 'angry', 'likable', 'compelling', 'true'];0.205
18;michaelRokeefe;"director martin scorsese more than puts nicoas pileggi's wiseguy on the screen...goodfellas is a high octane crime drama based on the life of henry hill. henry as a young boy, half-irish, half-sicilian and half-jewish if need be, wanted nothing more than being like the ""wise guys"" in business across the street from his home in brooklyn. although the neighborhood was impoverished, money flowed like water around the mobsters that henry idolized. henry(ray liotta) is taken under the wing of paul cicero(paul sorvino)and would distinguish himself as he rose through the ranks of the ""crime family"". henry was the golden boy until a reckless deal threaten the security of the family. knowing he was a marked man, hill turned informant and new york crime families fell like dominoes. scorsese and pileggi collaborated on the screenplay which was greatly enhanced with scorsese's masterful use of soundtrack music to complement the extraordinary story line. just a few featured in the soundtrack are: tony bennett, jerry vale, the moonglows, the crystals, dean martin, bobby darin, the ronettes, cream and the rolling stones. giving the movie much authenticity is a wonderful cast that includes: robert de niro, joe pesci, lorraine bracco, frank sivero, chuck low, gina mastrogiacomo and frank dileo.";14 November 2007;9;['high', 'young', 'half', 'irish', 'half', 'half', 'jewish', 'more', 'wise', 'impoverished', 'golden', 'reckless', 'marked', 'masterful', 'extraordinary', 'few', 'rolling', 'much', 'wonderful', 'frank'];0.2328888888888889
19;Calicodreamin;love ray liotta in this movie, he is the perfect wiseguy. cool, handsome, and just a bit deranged. well developed storyline, especially since it's based on a true story, and great acting. exactly what i to expect in a gangster movie.;21 January 2021;7;['perfect', 'cool', 'handsome', 'developed', 'true', 'great'];0.5166666666666667
